Project Name,Project ID,Tags
SEJAL - App,9e628be3-8b23-4501-b4f4-64fb9e87df08,
Finasist - DRP,727431e3-9dcf-47ec-b615-295747749855,
Woodward - Migración de servidores,2f939b8d-1eb6-4d75-8cb7-fda340c9effc,
PTV Group - Workspaces,7f3ee947-46bb-49d8-9c5b-2eb8b7aa7abd,
Manpower-Chatbot,76b33892-7e25-40ba-91f7-4a8f089e709e,
HDI Seguros - Backups de infraestructura,73792cc3-89f1-423c-b13e-5a214b6cf17e,
Grupo Promax-Soporte,b6fe48c4-0763-4ca2-acbe-80db9a5e5303,
JAC BOT,33df0a35-f6b7-4f01-98fa-ffd9f5e3c696,
Hub Modern Work,bdc690d2-23dc-47e9-bb76-956ed02140bf,
Acit global - Soporte aplicativos,ebd694ce-61b2-4362-b197-10194231f981,
H52 - AWS Lookout for vision,c9d03bf8-7aea-4ddd-a55e-731c72eee103,
Helfon,8a5c0958-9b3f-4333-b2eb-aed082638676,
Nufi,cb918982-4bbd-413d-adef-0fdf1bea76c7,
Blumonpay,1ebcc438-a0bd-468a-8ae3-ef04fbb55c81,
Zertuche - Sitio Web,27f10e3d-5ffc-4786-9d34-d3d3f24021e8,
iNBest-Facturación Amazon,bff979e2-38fc-41a9-b548-b20682dc475d,
Happy Coast - Web,c4ef25f5-2377-4e48-b0c9-6d195850b1f2,
Redpack,9b376b6d-dba1-4867-b10b-0363937e0fce,
INE - Migración Chatbot,c681d9db-5f7f-4e9d-9adc-4be82d7d1330,
Toka_SAP-Dashboard,9f0bafff-135a-4635-b722-da0e593bad15,
Ejemplo Hub,4884784b-8c24-4c70-b1e9-c6ca359c67c4,
Roomie IT - Looker BI,180a7977-0405-4228-ba94-084ac6e96144,
Arena Cancún- Migración,887e5ba1-5ffa-4057-b142-a4c5d272fe68,
SIF- Migración de directorios,e7587460-f668-455d-8b41-314bff89e339,
Scrum Master HUB,d0de5f01-e426-45a0-ade9-ceeaed7d614d,
Data Analytics Hub,e3a4b204-bbbc-490f-bf80-ce18d28ead30,
Ultra Labs - Migración SAP,a713e329-60c7-463d-9078-a5cde56d9c4e,
Profuturo - Migraciones,7bed4376-79f6-46c3-845b-8c7a28dbb5e8,
Banakya,58c62fa3-fd3b-499a-aea4-c36974e2013d,
Moto Continental,17ccab46-c63f-473a-9d1f-c563644435de,
CONSAR,c6e3515d-c2c8-4a22-8178-026c1f2f3c66,
Prueba - GML CRM,e2676243-bff2-49f5-89ed-a41af440d2d0,
Farmacias YZA - RAF PWA,e8bd48f3-dd3a-4ec1-9f6e-1988c59f65bb,
Ho-Ho Datos,cb4bc3cd-95d9-41eb-ab67-8554ea14a2f7,
Nadro-Webscraping - Bolsa de hrs,d9536c6d-3015-4ac6-afb9-3473ffa87019,
Easytrip - Finanzas-Automatización,70238156-be13-40db-9f0b-b754f278e416,
Farmacias YZA - Dashboard BI Incentivos,4f96e49d-eb73-45a2-85f2-4c662fe49096,
SCRUM Hub,791454ec-47a7-4a27-98a6-6cc8822a361b,
Pruebas,819312ae-efe2-4846-a449-655e997eca58,
Backend JAC App - GML,b4cd7d45-0334-40c1-abce-c995b714c14b,
IEEM - Proceso digitalización PREP,fef2d555-c1b8-4367-bca5-3bab999b8b7b,
Cold Terminal - Web App -WMS,7950a5d8-95cf-4d45-b0c9-26c29fa3d51b,
Project Planning,587701a5-457a-47c0-85fe-21528353f5c4,
Grupo Vallas,2d3a3b13-659e-43c2-a486-54116d9d21cf,
Fiscalia-Quicksight,516a0bde-3bef-403f-8ca1-5ac433ea0726,
Efecti Mundo  Auditoria de Infra AWS y Remediaciones,dc967de9-e113-4b38-bb9a-a0300d678f28,
Guntner-Asignacion Portal de clientes,62137466-853f-4680-873b-94be04a3f57e,
GML - Modelos 3D,0a159573-229c-4410-bda8-b86b587b54d4,
Billing - Interno,7dfdf111-57ab-419d-acfa-12fbedb20531,
